"","zip","year","total_est","total_large","construction_est","construction_large","manufacturing_est","manufacturing_large","wholesale_est","wholesale_large","retail_est","retail_large","logistics_est","logistics_large","professional_est","professional_large","education_est","education_large","health_care_est","health_care_large","services_est","services_large","government_est","government_large","entertainment_est","entertainment_large"
"1",10001,2004,7370,37,223,0,490,0,1734,1,766,3,100,0,4097,22,105,2,159,9,418,1,39,0,537,0
"2",10001,2005,7312,35,247,0,455,0,1743,1,759,3,85,0,4116,25,103,1,161,7,419,0,22,0,554,1
"3",10001,2006,7415,35,243,1,423,0,1727,2,760,3,87,0,4272,23,104,0,181,7,430,0,26,0,552,1
"4",10001,2007,7549,35,255,0,399,0,1681,1,749,2,84,1,4513,21,108,1,210,8,441,1,11,0,606,2
"5",10001,2008,7472,37,243,0,352,0,1666,0,726,2,88,1,4491,25,106,0,216,8,440,2,3,0,622,2
"6",10001,2009,7305,29,239,0,306,0,1608,0,700,1,80,0,4439,20,113,1,235,7,442,0,6,0,625,2
"7",10001,2010,7241,33,233,0,289,0,1579,0,718,3,74,0,4376,22,120,1,246,7,435,0,6,0,631,2
"8",10001,2011,7227,34,226,0,260,0,1556,0,700,3,70,0,4365,23,123,1,261,7,454,0,6,0,672,3
"9",10001,2012,7235,34,234,1,243,0,1456,0,717,3,80,0,4498,19,119,1,265,9,493,0,4,0,643,3
"10",10001,2013,7273,39,244,0,234,0,1411,0,726,4,85,0,4531,30,127,1,266,4,518,0,10,0,661,3
"11",10001,2014,7369,35,250,0,221,0,1375,0,701,4,85,0,4581,28,133,0,314,4,539,0,14,0,703,3
"12",10001,2015,7373,33,265,0,232,0,1325,0,696,3,82,0,4535,26,132,0,336,5,531,0,21,0,726,3
"13",10001,2016,7296,28,256,0,216,0,1265,0,669,3,71,0,4504,20,139,0,345,4,525,0,16,0,756,3
"14",10002,2004,2551,2,132,0,120,0,284,0,515,0,41,0,683,0,29,0,155,2,232,0,20,0,468,0
"15",10002,2005,2682,2,145,0,116,0,281,0,522,0,43,0,738,0,22,0,165,2,237,0,14,0,551,0
"16",10002,2006,2686,1,145,0,104,0,261,0,528,0,41,0,761,0,23,0,166,1,232,0,18,0,570,0
"17",10002,2007,2685,2,148,0,107,0,253,0,514,1,43,0,850,0,26,0,175,1,242,0,2,0,521,0
"18",10002,2008,2691,1,140,0,101,0,242,0,520,0,44,0,854,0,30,0,184,1,233,0,4,0,534,0
"19",10002,2009,2775,1,134,0,86,0,248,0,552,0,41,0,847,0,25,0,184,1,256,0,6,0,590,0
"20",10002,2010,2872,1,125,0,79,0,237,0,564,0,45,0,871,0,27,0,196,1,282,0,3,0,647,0
"21",10002,2011,2912,1,114,0,77,0,236,0,583,0,47,0,901,0,28,0,197,1,265,0,8,0,673,0
"22",10002,2012,2954,1,116,0,77,0,216,0,594,0,57,0,929,0,24,0,196,1,273,0,2,0,687,0
"23",10002,2013,2988,2,112,0,75,0,213,0,585,1,55,0,978,0,24,0,201,1,291,0,2,0,689,0
"24",10002,2014,2972,1,107,0,73,0,208,0,572,0,53,0,997,0,26,0,202,1,305,0,5,0,674,0
"25",10002,2015,3015,1,109,0,74,0,203,0,582,0,55,0,1021,0,25,0,201,1,314,0,5,0,684,0
"26",10002,2016,2998,1,109,0,68,0,197,0,561,0,47,0,1039,0,26,0,213,1,317,0,4,0,683,0
"27",10003,2004,3776,12,72,1,40,0,149,1,509,1,19,0,2082,3,52,0,339,5,422,0,24,0,736,0
"28",10003,2005,3867,12,66,1,44,0,151,1,486,0,18,0,2184,4,59,1,338,5,434,0,11,0,783,0
"29",10003,2006,3909,13,64,1,48,0,140,1,500,1,14,0,2214,6,60,1,332,4,439,0,19,0,802,0
"30",10003,2007,4049,18,73,1,49,0,127,1,482,2,11,0,2259,10,67,2,336,4,457,0,4,0,890,0
"31",10003,2008,4071,18,70,1,47,0,131,1,468,2,12,0,2281,10,68,3,333,4,444,0,8,0,920,0
"32",10003,2009,4099,17,56,1,46,0,130,1,453,1,12,0,2286,12,75,2,340,4,474,0,10,0,926,0
"33",10003,2010,4113,15,53,1,44,0,125,1,445,0,11,0,2295,7,82,2,331,5,477,0,10,0,944,0
"34",10003,2011,4159,17,51,1,42,0,118,1,450,1,9,0,2311,9,86,3,338,4,475,0,7,0,968,0
"35",10003,2012,4214,19,48,1,45,0,104,1,458,2,8,0,2331,10,89,3,328,4,492,0,4,0,1013,0
"36",10003,2013,4277,18,51,1,40,0,111,1,451,0,8,0,2340,10,86,3,333,5,496,0,6,0,1065,0
"37",10003,2014,4333,22,53,1,43,0,106,1,461,2,6,0,2361,11,75,3,334,5,503,0,9,0,1100,1
"38",10003,2015,4318,20,57,1,45,0,115,1,455,2,7,0,2315,7,72,3,332,5,495,0,11,0,1126,2
"39",10003,2016,4300,15,54,0,41,0,110,1,433,0,8,0,2272,6,79,3,335,4,504,0,12,0,1156,2
"40",10004,2004,1283,10,10,0,8,0,40,0,77,0,37,0,1179,12,9,0,25,1,81,0,8,0,120,0
"41",10004,2005,1260,17,11,0,6,0,42,0,81,0,39,0,1158,19,10,0,29,1,83,1,2,0,108,0
"42",10004,2006,1311,17,10,0,8,0,40,0,74,0,43,1,1218,19,12,0,31,0,86,0,3,0,111,0
"43",10004,2007,1370,18,17,0,10,0,35,0,69,0,34,2,1275,18,26,0,51,1,98,0,NA,NA,125,0
"44",10004,2008,1376,17,20,0,15,0,37,0,63,0,30,1,1240,17,25,0,61,2,101,0,1,0,128,0
"45",10004,2009,1379,16,18,0,12,0,41,0,63,0,30,0,1221,17,26,0,59,2,109,0,2,0,130,0
"46",10004,2010,1398,17,16,0,11,0,49,0,63,0,27,1,1235,17,29,0,57,2,110,0,4,0,134,0
"47",10004,2011,1404,15,15,0,13,0,55,0,57,0,26,0,1263,15,27,0,62,2,111,1,1,0,134,0
"48",10004,2012,1442,18,18,0,10,0,46,0,63,0,27,0,1344,16,28,0,61,4,114,1,NA,NA,143,0
"49",10004,2013,1479,19,19,0,11,0,53,0,62,0,24,0,1380,17,27,0,63,5,118,1,1,0,144,0
"50",10004,2014,1554,21,24,0,13,0,55,0,66,0,26,0,1428,19,31,0,79,5,121,1,2,0,150,0
"51",10004,2015,1549,21,22,0,12,0,53,1,73,0,26,0,1420,18,34,0,84,5,118,1,2,0,156,0
"52",10004,2016,1600,24,27,0,11,0,64,1,75,0,25,0,1434,22,33,1,90,4,122,1,5,0,165,0
"53",10005,2004,1226,9,14,0,6,0,30,0,32,0,11,0,1287,9,13,0,29,1,64,0,10,0,60,0
"54",10005,2005,1214,8,15,0,7,0,35,0,38,0,9,0,1267,8,11,0,31,1,66,0,5,0,62,0
"55",10005,2006,1259,11,16,0,6,0,37,0,32,0,10,0,1306,12,13,0,37,1,73,0,3,0,65,0
"56",10005,2007,1273,12,17,0,5,0,33,0,36,0,9,0,1335,14,10,0,35,0,78,0,1,0,73,0
"57",10005,2008,1291,13,16,0,6,0,32,0,36,0,8,0,1345,15,11,0,34,1,83,0,3,0,81,0
"58",10005,2009,1274,9,15,0,1,0,34,0,37,0,7,0,1332,8,11,0,31,2,83,0,5,0,78,0
"59",10005,2010,1266,9,23,0,1,0,30,0,41,0,5,0,1311,8,10,0,34,2,85,0,4,0,84,0
"60",10005,2011,1301,10,20,0,3,0,32,0,41,0,7,0,1341,8,12,0,39,2,96,1,4,0,84,0
"61",10005,2012,1273,10,14,0,1,0,33,0,46,0,5,0,1297,11,16,0,32,2,104,0,3,0,86,0
"62",10005,2013,1296,11,11,0,2,0,36,0,47,0,6,0,1311,11,22,0,35,2,97,0,4,0,90,0
"63",10005,2014,1321,12,11,0,3,0,43,0,46,0,7,0,1325,12,27,0,35,2,101,0,4,0,95,0
"64",10005,2015,1321,13,10,0,5,0,36,0,52,0,6,0,1323,14,29,0,33,2,104,0,4,0,100,0
"65",10005,2016,1340,15,13,0,5,0,39,0,45,0,8,0,1359,18,27,0,36,1,107,0,2,0,102,0
"66",10006,2004,869,5,9,0,6,0,38,0,31,0,23,0,875,6,6,0,23,0,45,0,4,0,58,0
"67",10006,2005,870,4,11,0,6,0,37,0,31,0,24,0,878,5,7,0,25,0,49,0,2,0,56,0
"68",10006,2006,874,3,12,0,5,0,35,0,35,0,22,0,879,4,7,0,27,0,49,0,1,0,54,0
"69",10006,2007,863,2,11,0,6,0,37,0,35,0,21,0,869,3,10,0,33,0,50,0,3,0,55,0
"70",10006,2008,845,1,15,0,7,0,40,0,25,0,22,0,862,2,13,0,31,0,45,0,2,0,50,0
"71",10006,2009,828,4,12,0,4,0,42,0,27,0,21,0,842,5,14,0,32,0,44,0,2,0,50,0
"72",10006,2010,843,5,11,0,4,0,48,0,27,0,18,0,827,5,16,0,36,1,62,0,NA,NA,53,0
"73",10006,2011,834,6,13,0,4,0,43,0,30,0,17,0,807,7,15,0,33,0,65,0,NA,NA,59,0
"74",10006,2012,850,7,12,0,3,0,34,0,31,0,22,0,851,8,10,0,36,0,67,0,1,0,55,0
"75",10006,2013,852,5,11,0,1,0,36,0,31,0,19,0,874,6,10,0,39,0,52,0,2,0,62,0
"76",10006,2014,855,5,12,0,2,0,34,0,32,0,22,0,869,6,10,0,42,0,52,0,NA,NA,62,0
"77",10006,2015,853,4,9,0,1,0,36,0,32,0,22,0,851,5,9,0,45,0,56,0,NA,NA,71,0
"78",10006,2016,829,5,5,0,2,0,31,0,35,0,21,0,829,6,10,0,47,0,58,0,1,0,68,0
"79",10007,2004,1635,4,20,0,13,0,39,0,138,1,25,1,1601,1,19,0,52,1,122,0,8,0,125,0
"80",10007,2005,1311,6,21,0,15,0,40,0,137,1,26,1,1281,3,18,0,51,1,123,0,3,0,130,0
"81",10007,2006,1292,7,19,0,14,0,40,0,125,1,24,1,1282,4,14,0,56,1,125,0,3,0,123,0
"82",10007,2007,1284,7,19,0,11,0,29,0,120,1,22,1,1306,4,18,0,51,1,118,0,2,0,130,0
"83",10007,2008,1313,7,26,0,10,0,29,0,120,1,16,0,1310,5,17,0,61,1,124,0,NA,NA,131,0
"84",10007,2009,1277,7,21,0,10,0,30,0,111,1,17,0,1283,5,22,0,58,1,120,0,1,0,125,0
"85",10007,2010,1330,8,20,0,8,0,33,0,109,1,14,0,1344,6,25,0,66,1,128,0,2,0,133,0
"86",10007,2011,1368,8,21,0,10,0,29,0,115,1,13,0,1359,6,27,0,69,1,135,0,2,0,141,0
"87",10007,2012,1400,8,24,0,10,0,28,0,114,2,12,0,1386,6,21,0,71,0,148,0,NA,NA,154,0
"88",10007,2013,1424,9,24,0,7,0,28,0,118,2,13,0,1394,6,22,0,79,1,144,0,1,0,153,0
"89",10007,2014,1451,10,26,0,8,0,32,0,105,2,11,0,1436,7,22,0,82,1,148,0,5,0,151,0
"90",10007,2015,1440,14,27,0,6,0,28,0,104,2,13,0,1413,10,19,0,81,1,150,0,5,0,160,1
"91",10007,2016,1492,14,26,0,5,0,29,0,119,2,17,0,1456,10,20,0,90,1,141,0,4,0,163,1
"92",10008,2004,19,0,2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA
"93",10008,2005,16,0,2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA
"94",10008,2006,20,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0,1,0,NA,NA
"95",10008,2007,18,0,1,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA
"96",10008,2008,15,0,1,0,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA
"97",10008,2009,15,0,2,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA
"98",10008,2010,13,0,1,0,NA,NA,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA
"99",10008,2011,15,0,1,0,NA,NA,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA
"100",10008,2012,14,0,1,0,NA,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA
"101",10008,2013,20,0,1,0,NA,NA,2,0,2,0,NA,NA,NA,NA,NA,NA,1,0,4,0,NA,NA,NA,NA
"102",10008,2014,15,1,1,0,NA,NA,1,0,2,0,NA,NA,NA,NA,NA,NA,1,1,2,0,NA,NA,NA,NA
"103",10008,2015,13,1,1,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,1,1,2,0,NA,NA,NA,NA
"104",10008,2016,10,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,0,NA,NA,NA,NA
"105",10009,2004,982,1,26,0,10,0,25,0,146,0,8,0,NA,NA,18,0,74,1,118,0,9,0,253,0
"106",10009,2005,1029,1,35,0,7,0,27,0,154,0,8,0,NA,NA,15,0,82,1,123,0,3,0,272,0
"107",10009,2006,1016,2,29,0,9,0,24,0,165,0,10,0,NA,NA,13,0,79,1,125,0,2,0,252,0
"108",10009,2007,1027,1,34,0,10,0,20,0,162,0,11,0,NA,NA,10,0,78,1,141,0,1,0,255,0
"109",10009,2008,1066,0,33,0,8,0,16,0,162,0,12,0,415,0,12,0,83,0,167,0,3,0,262,0
"110",10009,2009,1049,1,34,0,7,0,15,0,150,0,11,0,420,0,10,0,82,1,163,0,6,0,261,0
"111",10009,2010,1090,1,24,0,3,0,16,0,153,0,8,0,NA,NA,9,0,94,0,168,0,7,0,285,0
"112",10009,2011,1128,1,26,0,4,0,19,0,150,0,7,0,NA,NA,9,0,94,0,173,0,2,0,317,0
"113",10009,2012,1176,1,29,0,6,0,19,0,160,0,8,0,NA,NA,8,0,98,0,185,0,2,0,331,0
"114",10009,2013,1220,1,35,0,3,0,20,0,166,0,9,0,NA,NA,10,0,104,0,184,0,2,0,337,0
"115",10009,2014,1248,1,34,0,6,0,19,0,160,0,8,0,NA,NA,15,0,102,0,185,0,3,0,343,0
"116",10009,2015,1224,1,32,0,6,0,18,0,158,0,9,0,NA,NA,18,0,99,0,173,0,5,0,335,0
"117",10009,2016,1270,1,31,0,7,0,18,0,170,0,8,0,NA,NA,17,0,117,0,182,0,4,0,343,0
"118",10010,2004,3059,15,78,0,91,0,282,0,269,0,13,0,2205,13,47,2,181,4,282,0,21,0,320,0
"119",10010,2005,3060,14,78,0,87,0,280,0,254,0,15,0,2222,11,43,2,188,4,288,0,16,0,324,0
"120",10010,2006,3047,16,80,0,86,0,288,0,259,0,13,0,2194,14,47,2,185,4,282,0,11,0,325,0
"121",10010,2007,2948,12,80,0,76,0,250,0,241,0,14,0,2160,9,48,2,186,3,265,0,2,0,355,0
"122",10010,2008,3000,12,82,0,65,0,256,0,228,0,12,0,2185,10,50,2,196,3,273,0,6,0,380,0
"123",10010,2009,2938,12,72,0,63,0,224,0,229,0,11,0,2136,10,55,2,205,3,267,0,8,0,380,0
"124",10010,2010,2981,14,74,0,53,0,219,0,245,0,12,0,2175,12,53,3,210,2,290,0,8,0,374,0
"125",10010,2011,3022,14,78,0,55,0,216,0,254,0,12,0,2195,11,57,3,217,2,300,0,6,0,382,1
"126",10010,2012,3068,13,74,0,51,0,194,0,245,0,16,0,2260,10,55,2,218,2,319,0,5,0,388,1
"127",10010,2013,3091,15,77,0,49,0,183,0,258,0,13,0,2272,13,58,2,217,2,325,0,5,0,394,1
"128",10010,2014,3137,16,82,0,48,0,184,0,249,1,14,0,2355,14,60,2,221,2,340,0,5,0,386,1
"129",10010,2015,3142,13,78,0,42,0,186,0,240,0,12,0,2331,12,61,1,227,2,337,0,7,0,404,1
"130",10010,2016,3052,14,74,0,46,0,177,0,246,0,14,0,2245,15,57,1,228,2,327,0,6,0,392,1
"131",10011,2004,3729,8,100,0,95,0,169,0,526,0,42,0,2191,2,59,2,291,3,401,0,34,0,519,1
"132",10011,2005,3784,11,95,0,86,0,180,0,538,0,37,0,2237,7,60,2,307,3,402,0,17,0,542,1
"133",10011,2006,3823,9,88,0,78,0,158,0,552,0,39,0,2269,5,53,1,298,3,404,0,17,0,576,1
"134",10011,2007,3818,7,95,0,73,0,163,0,544,0,35,0,2300,4,56,1,300,2,402,0,4,0,562,1
"135",10011,2008,3887,12,91,0,71,0,155,0,533,1,37,0,2320,7,65,0,312,4,415,0,4,0,596,2
"136",10011,2009,3823,11,91,0,66,0,151,0,527,1,31,0,2251,9,61,0,311,3,414,0,7,0,593,1
"137",10011,2010,3852,10,77,0,65,0,157,0,536,1,28,0,2228,8,67,1,323,3,436,0,7,0,596,0
"138",10011,2011,3869,8,78,0,64,0,154,0,522,1,27,0,2297,6,71,1,307,2,439,0,8,0,600,1
"139",10011,2012,3841,9,79,0,54,0,137,0,516,1,27,0,2210,7,83,1,276,1,482,0,6,0,639,1
"140",10011,2013,3905,8,81,0,55,0,143,0,496,1,26,0,2228,6,83,0,284,1,502,0,14,0,657,1
"141",10011,2014,3958,6,86,0,51,0,134,0,497,1,26,0,2311,4,80,0,279,1,498,0,11,0,681,1
"142",10011,2015,4002,6,90,0,50,0,134,0,518,1,23,0,2317,5,79,0,277,0,502,0,16,0,702,1
"143",10011,2016,3945,9,81,0,48,0,132,0,521,0,25,0,2221,9,82,0,256,0,502,0,16,0,719,1
"144",10012,2004,2881,1,44,0,91,0,186,0,608,0,15,0,1668,0,33,1,87,0,223,0,12,0,476,0
"145",10012,2005,2963,2,44,0,86,0,197,0,634,0,15,0,1724,1,29,1,86,0,222,0,12,0,484,0
"146",10012,2006,2975,2,43,0,85,0,190,0,636,0,14,0,1778,1,34,1,88,0,207,0,7,0,481,0
"147",10012,2007,2912,3,38,0,82,0,192,0,610,1,11,0,1738,1,31,1,88,0,213,0,3,0,480,0
"148",10012,2008,2918,2,39,0,72,0,189,0,622,0,12,0,1712,1,32,1,91,0,227,0,6,0,476,0
"149",10012,2009,2868,1,39,0,63,0,181,0,604,0,11,0,1620,0,33,1,99,0,233,0,6,0,495,0
"150",10012,2010,2916,1,41,0,58,0,178,0,619,0,11,0,1613,0,33,1,99,0,239,0,3,0,526,0
"151",10012,2011,2935,2,40,0,52,0,165,0,618,0,14,0,1648,1,35,1,106,0,246,0,3,0,528,0
"152",10012,2012,2951,4,37,0,51,0,156,0,649,0,11,0,1645,3,31,1,103,0,248,0,2,0,527,0
"153",10012,2013,2975,3,37,0,50,0,160,0,643,0,9,0,1676,3,36,0,105,0,248,0,1,0,536,0
"154",10012,2014,2983,3,39,0,49,0,165,0,668,0,11,0,1661,3,37,0,102,0,265,0,1,0,518,0
"155",10012,2015,2972,0,36,0,43,0,157,0,651,0,11,0,1647,0,37,0,106,0,272,0,4,0,529,0
"156",10012,2016,2953,0,37,0,42,0,146,0,652,0,10,0,1645,0,41,0,99,0,267,0,4,0,524,0
"157",10013,2004,5847,7,130,0,330,0,406,0,846,0,51,1,3491,2,52,1,284,2,361,0,28,0,696,1
"158",10013,2005,4948,19,134,0,288,0,375,0,856,0,50,1,2706,13,48,2,290,2,352,0,20,0,671,1
"159",10013,2006,5002,14,142,0,262,0,358,0,860,0,52,1,2819,9,51,1,272,2,369,0,25,0,669,1
"160",10013,2007,5027,15,135,0,242,1,338,0,885,1,45,0,2902,7,50,1,296,4,361,0,7,0,682,1
"161",10013,2008,5094,11,125,0,225,1,316,0,881,0,38,0,2993,4,53,1,305,4,367,0,6,0,743,1
"162",10013,2009,5029,9,121,0,189,0,295,0,878,0,38,0,2965,5,55,1,313,3,375,0,7,0,745,0
"163",10013,2010,5098,9,118,0,182,0,297,0,880,0,35,0,3084,6,59,1,329,3,385,0,10,0,726,0
"164",10013,2011,5229,15,122,0,182,0,273,0,897,1,40,0,3171,11,65,1,340,3,414,0,10,0,740,1
"165",10013,2012,5374,14,110,0,176,0,281,0,934,1,33,0,3203,10,66,1,363,2,455,1,5,0,772,1
"166",10013,2013,5390,12,114,0,158,0,273,0,904,0,28,0,3273,12,73,1,368,1,456,0,11,0,776,0
"167",10013,2014,5417,12,109,0,160,0,268,0,880,0,29,0,3310,10,66,1,365,2,484,1,7,0,797,0
"168",10013,2015,5322,16,107,0,144,1,271,0,853,1,28,0,3233,14,64,0,379,2,476,1,12,0,812,0
"169",10013,2016,5229,21,105,0,137,1,259,1,819,0,28,0,3157,18,73,0,371,4,479,1,10,0,804,0
"170",10014,2004,2247,6,45,0,83,1,108,1,315,0,11,0,1203,4,25,0,98,0,235,0,14,0,461,0
"171",10014,2005,2271,4,38,0,75,0,111,0,324,0,12,0,1219,6,30,0,95,0,241,0,4,0,485,0
"172",10014,2006,2302,6,40,0,75,0,97,0,324,0,8,0,1237,9,31,0,90,0,247,0,10,0,512,0
"173",10014,2007,2258,4,39,0,60,0,93,0,331,0,13,1,1192,4,28,0,100,0,239,0,5,0,509,0
"174",10014,2008,2276,5,38,0,52,0,92,0,336,0,14,2,1213,4,31,0,84,0,254,0,4,0,519,0
"175",10014,2009,2264,7,35,0,51,0,87,0,338,0,15,1,1212,8,34,0,87,0,257,0,5,0,509,0
"176",10014,2010,2264,9,37,0,46,0,85,0,343,0,12,1,1216,10,36,0,85,0,254,0,8,0,510,1
"177",10014,2011,2299,10,40,0,45,0,77,0,344,0,13,1,1202,11,34,0,84,0,259,0,5,0,556,1
"178",10014,2012,2506,6,36,0,42,0,76,0,333,0,11,0,1285,6,203,0,85,0,264,0,4,0,546,1
"179",10014,2013,2438,10,41,0,37,0,79,0,346,1,12,1,1348,8,35,1,83,0,283,0,4,0,569,1
"180",10014,2014,2448,8,42,0,33,0,85,0,351,0,13,0,1347,7,34,1,86,0,286,0,6,0,561,2
"181",10014,2015,2454,8,36,0,32,0,85,0,348,0,16,1,1382,8,32,0,90,0,283,0,10,0,547,1
"182",10014,2016,2418,7,40,0,39,0,83,0,336,0,13,0,1353,7,33,0,86,0,276,0,12,0,544,1
"183",10015,2004,4,0,NA,NA,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA
"184",10015,2005,8,0,NA,NA,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"185",10015,2006,9,0,NA,NA,1,0,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA
"186",10015,2007,12,0,1,0,1,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,NA,NA
"187",10016,2004,6080,21,119,0,120,0,717,4,372,0,63,0,4300,15,52,0,575,4,640,0,29,0,500,0
"188",10016,2005,6116,21,110,0,110,0,683,3,373,0,55,0,4361,19,58,0,578,4,646,0,16,0,540,0
"189",10016,2006,6088,20,113,0,114,0,656,2,355,0,45,0,4363,19,57,0,576,4,672,0,23,0,532,0
"190",10016,2007,5933,14,118,0,99,0,601,2,344,0,41,0,4259,12,53,0,595,3,663,0,8,0,541,0
"191",10016,2008,5906,11,119,0,90,0,574,1,327,0,38,0,4204,8,59,0,604,3,657,0,6,0,554,0
"192",10016,2009,5800,13,122,0,74,0,555,1,314,0,39,0,4073,8,57,0,611,4,666,0,9,0,561,0
"193",10016,2010,5769,12,114,0,82,0,527,1,316,0,29,0,4032,7,64,0,614,4,664,0,15,0,578,0
"194",10016,2011,5772,11,118,0,81,0,508,1,336,0,32,0,4001,7,66,0,639,4,693,0,10,0,548,0
"195",10016,2012,5933,14,120,0,79,0,498,2,329,0,33,0,4137,8,72,0,657,4,729,0,6,0,575,0
"196",10016,2013,5949,14,121,0,79,0,510,0,318,0,32,0,4150,10,77,0,654,4,717,1,9,0,590,0
"197",10016,2014,5968,14,121,0,73,0,505,0,315,0,33,0,4180,10,83,0,641,3,710,1,13,0,613,1
"198",10016,2015,6042,14,135,0,70,0,486,0,336,0,25,0,4214,11,88,0,648,4,725,1,19,0,616,0
"199",10016,2016,5991,18,130,0,65,0,474,0,327,0,25,0,4171,14,88,0,640,5,741,2,13,0,633,0
"200",10017,2004,5384,37,54,0,70,0,417,2,331,0,65,0,4650,40,49,0,148,1,405,1,35,0,482,2
"201",10017,2005,5346,35,56,0,63,0,424,2,332,0,58,0,4612,39,47,0,151,1,412,1,19,0,490,3
"202",10017,2006,5433,40,43,0,63,0,414,3,332,0,57,0,4660,39,50,0,156,2,416,2,25,0,505,3
"203",10017,2007,5252,37,57,0,53,0,414,2,317,0,50,0,4445,39,57,0,159,1,457,2,8,0,470,3
"204",10017,2008,5271,36,63,0,51,0,399,1,316,0,45,0,4369,35,59,0,177,2,437,2,8,0,481,3
"205",10017,2009,5168,37,64,0,42,0,385,2,309,0,42,0,4330,37,63,0,177,1,438,2,9,0,451,3
"206",10017,2010,5133,34,68,0,46,0,368,2,307,0,37,0,4277,32,61,2,193,1,435,2,6,0,463,2
"207",10017,2011,5052,31,73,0,47,0,382,2,305,0,38,0,4180,29,53,2,206,0,433,2,5,0,457,2
"208",10017,2012,5034,35,70,1,45,0,348,2,309,0,35,0,4156,33,59,1,222,0,414,2,4,0,488,2
"209",10017,2013,5022,33,64,1,41,0,352,2,313,0,32,0,4143,30,57,0,217,0,418,3,4,0,494,2
"210",10017,2014,4963,36,63,0,41,0,329,1,310,0,34,0,4100,34,60,1,227,0,421,4,9,0,479,2
"211",10017,2015,4922,34,66,0,38,0,310,1,298,0,37,0,4066,34,58,1,250,0,436,4,9,0,455,2
"212",10017,2016,4892,40,71,0,39,0,310,1,286,0,33,0,4036,44,58,0,257,0,432,4,12,0,470,3
"213",10018,2004,6293,23,117,0,848,1,2171,1,468,2,73,1,2813,13,43,1,76,2,244,0,36,0,309,2
"214",10018,2005,6344,21,131,0,779,1,2185,0,481,1,80,1,2905,12,47,1,89,2,253,0,20,0,312,3
"215",10018,2006,6365,22,129,0,762,1,2140,0,482,1,71,1,3016,12,46,1,96,3,255,0,25,0,321,3
"216",10018,2007,6679,18,147,0,760,1,2163,0,488,0,80,0,3308,13,60,0,104,3,266,0,10,0,369,1
"217",10018,2008,6551,20,148,0,657,2,2140,0,451,1,85,1,3337,15,65,1,93,2,265,1,7,0,383,0
"218",10018,2009,6457,22,149,0,617,1,2045,1,448,1,83,1,3360,17,66,0,95,2,277,1,9,0,386,0
"219",10018,2010,6421,24,144,1,589,0,1987,1,444,1,74,0,3387,19,72,1,106,2,283,1,5,0,411,0
"220",10018,2011,6449,27,146,0,562,1,1910,2,450,1,82,0,3473,22,78,0,111,2,310,1,4,0,430,1
"221",10018,2012,6691,33,145,0,566,1,1948,1,457,2,82,0,3665,31,84,0,116,2,344,1,3,0,460,1
"222",10018,2013,6806,32,160,0,556,0,1916,1,481,1,86,0,3769,32,86,0,120,2,357,1,5,0,478,1
"223",10018,2014,6808,32,154,1,531,0,1883,1,489,1,87,1,3776,32,88,0,121,2,359,1,7,0,513,1
"224",10018,2015,6723,32,162,0,505,0,1805,2,478,2,82,0,3807,31,82,1,122,2,350,1,11,0,528,1
"225",10018,2016,6578,35,173,0,480,0,1732,3,478,2,80,0,3748,32,90,1,124,3,335,1,9,0,543,1
"226",10019,2004,5068,38,70,0,68,0,269,0,463,1,56,0,2905,41,52,0,422,2,438,0,30,0,950,5
"227",10019,2005,5058,44,66,0,70,0,264,0,467,3,48,0,2909,43,53,1,431,2,424,0,22,0,954,7
"228",10019,2006,5173,46,67,0,65,0,248,0,453,4,45,0,3052,45,50,0,439,2,429,0,16,0,963,7
"229",10019,2007,5033,40,64,0,63,0,210,0,459,3,39,0,2949,40,57,0,429,1,439,0,7,0,953,6
"230",10019,2008,5035,42,66,0,63,0,194,0,468,3,41,0,2894,41,54,0,428,1,460,0,9,0,957,6
"231",10019,2009,4932,41,57,0,57,0,189,0,485,3,45,0,2813,38,49,0,417,1,437,0,12,0,943,7
